experiment?',1,1
delighted,1,1
cauldron,2,2
interrupting,2,2
down,52,35
respectable,1,1
Adventures,,1,1
twenty-four,1,1
bats,1,1
(when,1,1
PLENTY,1,1
knuckles.,1,0
balanced,1,1
cattle,1,1
right;,1,1
frightened,5,7
eagerly.,1,0
animal's,1,1
eagerly,,3,3
cleared,1,1
crowd,4,4
voices,2,2
wag,1,1
sulky,,1,1
sneezing,3,4
below!',1,1
can--',1,1
handwriting?',1,1
THINK,1,1
why.,1,0
why,,2,2
one?',1,1
game,,1,2
way,19,21
obliged,2,1
editions,1,1
was,99,144
sea,',1,1
happy,1,1
round.,2,0
head,11,26
only,32,35
'That's,6,9
bat!,1,0
offer,2,2
something,12,13
free,,1,1
throat!',1,1
bat,,1,1
face--and,1,1
scratching,1,1
'I'm,11,11
didn't!',2,2
LOVE).,1,0
hear,9,10
shall!',1,1
heap,1,1
same,,1,2
'I'd,3,3
hands,,2,3
hall.,1,0
hall,,5,4
flavour,1,1
claws,,1,1
else's,1,1
'--for,1,1
them--all,1,1
cook,,1,2
until,4,3
'I'M,0,1
'That,3,6
raving,1,2
hall:,1,1
hall;,1,1
'Look,1,1
wait,,1,1
unusually,1,1
more,26,29
temper,1,1
curious,,1,1
'Boots,1,1
remarked,,2,2
proved,2,2
sticks,1,1
screaming,1,1
dry,,1,1
chanced,1,1
upset,2,1
besides,,1,1
history,1,1
TWO,1,1
muscular,1,1
hungry,2,2
howling,3,3
happens!',1,1
guessed,2,3
die.,1,0
promised,1,1
beauti--FUL,1,1
curious,8,15
rude.',1,1
yourself.',2,2
song,,2,4
song.,1,0
soup!',1,1
seems,',1,1
Only,1,1
no,33,42
'"Miss,1,1
sugar,1,1
prizes.',1,1
generally,5,4
something,,1,1
handed,2,3
hurry,,1,1
vanished.,1,0
hurry.,2,0
setting,1,1
'Yes,',2,1
holding,2,2
clubs;,1,1
tie,1,1
vanished,3,3
murder,1,1
shrink,1,1
officers:,1,1
BEE,",1,1
spot.',1,1
pronounced,1,1
"William,0,1
'Silence!',1,1
welcome,1,1
modern,,1,1
'I've,4,11
let's,2,2
fell,4,6
hedge!',1,1
'a,2,2
Duchess,2,11
wits!',1,1
stick,,2,2
sorrow,,1,1
inkstand,1,1
unlocking,1,1
died,1,1
fur.,1,0
not.,1,0
banks,,1,1
cheated,1,1
sisters--they,1,1
drinking.,1,0
cucumber-frames,1,1
moved,4,4
uglifying!',1,1
