Title,Annual Growth,Life Expectancy Male,Life Expectancy Female,Life Expectancy Average,Dev Status,Birth Per Hour,Death Per Hour,Migration Per Hour,Population
Zimbabwe,0.001,47.5,45.4,46.6,developing,42.2310274,21.66554795,-20.54794521,12571454
Swaziland,1.417,47.6,47,47.4,developing,3.931894977,1.942237443,-0.136986301,1186056
Timor-Leste,2.138,59.9,61.7,60.8,least_developed,4.803515982,1.06109589,-1.139954338,1124355
United Arab Emirates,12.26,75.3,77,75.9,developing,9.250844749,0.901369863,70.24278539,7511690
Namibia,1.865,60.4,61.6,61.1,developing,6.829383562,2.152853881,-0.034109589,2283289
Venezuela,1.666,70.8,76.8,73.7,developing,68.06278539,16.1053653,0.913242009,28979857
Central African Republic,1.822,44.5,47.3,45.9,least_developed,17.10047945,8.466438356,0.114155251,4401051
New Zealand,1.101,78,82.2,80.1,developed,7.239292237,3.380502283,1.484109589,4368136
Iran,1.181,70.3,73.9,72.1,developing,145.4475799,44.36828767,-4.238584475,73973630
Dominican Republic,1.383,69.9,75.4,72.5,developing,24.84655251,6.512009132,-3.196347032,9927320
Mali,3.079,48.9,51,50,least_developed,77.62449772,25.2502968,-2.301894977,15369809
Paraguay,1.804,69.7,73.9,71.7,developing,17.506621,3.88260274,-0.913242009,6454548
USA,0.894,75.4,80.5,78,developed,484.4026712,287.8563699,113.1261187,310383948
China,0.51,71.1,74.5,72.7,developing,1907.987831,1094.614201,-43.0160274,1341335152
Armenia,0.17,70.2,76.7,73.7,developing,5.347922374,3.039292237,-1.712328767,3092072
Thailand,0.714,70.2,77.1,73.6,developing,99.6239726,55.52582192,11.23863014,69122234
Belize,2.073,73.9,76.8,75.3,developing,0.853447489,0.130799087,-0.022191781,311627
South Korea,0.479,76.5,83.3,80,developing,54.40942922,27.70947489,-0.684931507,48183584
Ukraine,-0.639,61.8,73.5,67.5,developed,55.04751142,87.82358447,-0.913378995,45448329
